,Unnamed: 0,UnitPriceMean,UnitPriceStd,TotalQuantity,NoOfUniqueItems,NoOfInvoices,UniqueItemsPerInvoice,QuantityPerInvoice,SpendingPerInvoice
724,734,5.933461538461537,5.724626759751376,164.0,24.0,3.0,8.666666666666666,54.66666666666666,159.69333333333333
725,735,4.344304347826094,3.811503868688716,1621.0,125.0,3.0,76.66666666666667,540.3333333333334,1505.8966666666665
726,736,3.3472727272727267,3.1776349123780148,196.0,22.0,1.0,22.0,196.0,376.69999999999993
727,737,6.0633333333333335,6.879326232398396,908.0,9.0,4.0,4.5,227.0,302.55
728,738,5.045925925925928,4.038238629040045,167.0,25.0,2.0,13.5,83.5,232.295
729,739,2.9526190476190477,4.271750330868059,1653.0,70.0,4.0,21.0,413.25,608.125
730,740,3.1631034482758693,2.8322172945821458,1606.0,212.0,15.0,20.466666666666665,107.06666666666666,236.80733333333333
731,741,0.9562068965517244,1.496935950994334,645.0,29.0,1.0,29.0,645.0,326.82
732,742,3.1223076923076927,3.204891645834296,303.0,23.0,2.0,13.0,151.5,381.065
733,743,1.6047619047619046,1.5753939794464715,468.0,21.0,1.0,21.0,468.0,566.8400000000001
734,744,4.221764705882353,2.9901682030201813,250.0,34.0,3.0,11.333333333333336,83.33333333333333,229.2266666666667
735,745,2.335428571428572,1.2486541998985827,418.0,35.0,1.0,35.0,418.0,827.18
736,746,3.857195121951216,3.423285287408611,772.0,78.0,4.0,20.5,193.0,342.7999999999999
737,747,2.8250000000000006,3.0143882237754918,198.0,12.0,1.0,12.0,198.0,241.26
738,748,2.332051282051282,1.039387925876975,522.0,33.0,3.0,13.0,174.0,353.7000000000001
739,749,9.153076923076924,7.790707482438488,71.0,13.0,1.0,13.0,71.0,302.5700000000001
740,750,3.0572222222222223,2.7329791291985592,322.0,36.0,2.0,18.0,161.0,377.11
741,751,4.640909090909091,7.157307391114977,894.0,9.0,3.0,3.6666666666666665,298.0,470.63999999999993
742,752,1.7848951048951038,1.6390064265842033,1494.0,122.0,3.0,46.0,498.0,427.9033333333333
743,753,4.4090196078431365,3.367322529786513,1241.0,26.0,13.0,3.9230769230769234,95.46153846153848,278.05769230769243
744,754,2.19254716981132,1.7188429448854217,695.0,87.0,4.0,26.25,173.75,243.5425
745,755,5.469811320754711,4.153894600050766,335.0,44.0,3.0,17.666666666666668,111.66666666666669,361.0500000000001
746,756,6.1,2.616295090390226,5.0,2.0,1.0,2.0,5.0,24.95
747,757,2.064285714285714,1.1795883059053152,182.0,7.0,1.0,7.0,182.0,288.5
748,758,5.288181818181818,5.627365866096596,256.0,29.0,3.0,11.0,85.33333333333333,205.77
749,759,2.648,4.18007211147641,1345.0,6.0,5.0,3.0,269.0,154.494
750,760,2.772727272727273,5.066130852848337,115.0,11.0,1.0,11.0,115.0,154.9
751,761,1.6439622641509442,0.9030979579345448,603.0,46.0,3.0,17.666666666666668,201.0,284.1033333333333
752,762,3.054678899082567,2.7797457147250197,264.0,85.0,4.0,27.0,66.0,141.93749999999997
753,763,5.4857894736842105,3.670194236139847,106.0,18.0,2.0,9.5,53.0,172.23000000000005
754,764,4.689062499999999,4.994844025059983,271.0,30.0,4.0,8.0,67.75,125.0475
755,765,4.076666666666667,4.427073010307882,373.0,39.0,1.0,39.0,373.0,812.2500000000001
756,766,9.516511627906972,26.29323902629552,657.0,32.0,5.0,8.6,131.4,203.252
757,767,4.294761904761907,3.498210426843444,129.0,21.0,2.0,10.5,64.5,157.05500000000004
758,768,11.479062500000007,28.047361075908164,609.0,93.0,2.0,48.0,304.5,1193.2050000000004
759,769,2.0137735849056604,2.378998841153964,3134.0,27.0,8.0,6.625,391.75,547.5437499999998
760,770,2.246709677419356,2.1329336527937204,634.0,156.0,7.0,43.714285714285715,90.57142857142857,179.9257142857143
761,771,3.278636363636364,2.7481375432663397,128.0,21.0,2.0,11.0,64.0,123.72500000000002
762,772,3.675555555555556,5.531578527535274,948.0,41.0,6.0,9.0,158.0,223.295
763,773,3.9769444444444417,2.991606469426213,569.0,87.0,5.0,21.4,113.8,287.696
764,774,3.3384615384615386,3.23633458382497,121.0,26.0,1.0,26.0,121.0,255.25000000000003
765,775,4.20925925925926,2.1005968491138707,72.0,19.0,2.0,12.5,36.0,129.5
766,776,5.478999999999997,3.967728106426978,996.0,31.0,9.0,5.5555555555555545,110.66666666666669,447.0511111111112
767,777,2.9234210526315803,2.678762598881512,424.0,36.0,2.0,19.0,212.0,380.2000000000001
768,778,2.9476111111111094,2.8190753593049087,1084.0,136.0,4.0,44.5,271.0,450.1725
769,780,2.741724137931034,1.9982046744971516,228.0,27.0,3.0,9.666666666666666,76.0,153.76000000000005
