,Unnamed: 0,UnitPriceMean,UnitPriceStd,TotalQuantity,NoOfUniqueItems,NoOfInvoices,UniqueItemsPerInvoice,QuantityPerInvoice,SpendingPerInvoice
0,0,4.134920634920632,2.559095022133658,505.0,44.0,5.0,12.6,101.0,250.5360000000001
1,1,3.2818666666666663,4.6736141733610665,1719.0,50.0,4.0,18.75,429.75,655.1075000000002
2,3,6.790784313725487,6.478745817868535,472.0,41.0,7.0,7.2857142857142865,67.42857142857143,282.88428571428574
3,4,1.8997520661157008,1.836582180214976,1491.0,86.0,7.0,17.0,213.0,266.3942857142857
4,5,4.044117647058823,2.2886870112127866,442.0,15.0,4.0,4.25,110.5,465.42500000000007
5,6,2.672432432432433,2.202259552172522,12220.0,300.0,31.0,27.322580645161292,394.19354838709677,620.5493548387097
6,7,6.144736842105264,6.241458490895155,202.0,16.0,2.0,9.5,101.0,426.2
7,8,5.571428571428571,6.846158116227009,53.0,7.0,1.0,7.0,53.0,130.85
8,9,2.2847368421052643,1.2900805904378851,14337.0,25.0,21.0,3.571428571428572,682.7142857142858,1092.3499999999997
9,10,4.05122222222222,3.1303888647330127,849.0,79.0,5.0,18.0,169.8,428.756
10,11,2.2070462633451946,2.130957069017327,18954.0,195.0,9.0,31.222222222222218,2106.0,2843.9377777777777
11,12,18.399,51.53484699156915,103.0,10.0,1.0,10.0,103.0,318.1400000000001
12,13,2.273082706766915,2.0022230752610386,4402.0,94.0,13.0,10.23076923076923,338.61538461538464,550.4376923076924
13,14,3.4505504587155964,2.6696389112409604,1762.0,35.0,11.0,9.909090909090908,160.1818181818182,376.7109090909091
14,15,4.65,0.0,108.0,2.0,2.0,1.5,54.0,251.1
15,16,3.0773529411764704,1.8916423981733024,332.0,31.0,3.0,11.333333333333336,110.66666666666669,276.5133333333334
16,17,3.2349999999999994,2.9519275381479457,124.0,64.0,1.0,64.0,124.0,354.22999999999985
17,18,5.223684210526313,16.78780864975886,1836.0,85.0,8.0,11.875,229.5,564.845
18,19,1.2958333333333334,0.4860004409169075,564.0,33.0,2.0,18.0,282.0,343.7999999999999
19,20,3.38,2.897326353726829,487.0,4.0,3.0,1.6666666666666667,162.33333333333334,417.25
20,21,2.321518987341771,1.7801369067254742,868.0,74.0,2.0,39.5,434.0,635.28
21,22,2.8586956521739117,2.07184221120064,362.0,73.0,3.0,26.0,120.66666666666669,278.2699999999999
22,23,1.9733898305084747,1.7589471872347404,228.0,59.0,1.0,59.0,228.0,390.78999999999985
23,24,4.55,4.228947859692762,110.0,6.0,1.0,6.0,110.0,225.7
24,25,3.0742424242424247,2.2287931576065865,553.0,28.0,3.0,11.0,184.33333333333331,380.41666666666674
25,26,1.5676999999999992,1.551493593882778,19414.0,171.0,13.0,15.384615384615385,1493.3846153846155,1450.7215384615383
26,27,2.119624999999999,1.7164339274248777,694.0,57.0,3.0,25.66666666666667,231.33333333333331,379.45666666666665
27,28,3.1898360655737688,2.650461275453312,775.0,35.0,8.0,7.625,96.875,178.50375
28,29,2.6404761904761904,2.2282848620067743,3537.0,32.0,6.0,7.0,589.5,1479.4899999999998
29,30,2.8357943925233617,2.048474829510501,663.0,66.0,7.0,15.285714285714285,94.71428571428572,228.23142857142855
30,31,0.805,0.3606244584051392,216.0,2.0,1.0,2.0,216.0,155.52000000000004
31,32,3.1466666666666674,3.697850727111628,220.0,9.0,2.0,4.5,110.0,204.75000000000009
32,33,2.475787278415019,2.429550329238197,4113.0,689.0,56.0,16.714285714285715,73.44642857142857,109.805
33,34,2.76326923076923,2.4122081017386363,84.0,46.0,1.0,46.0,84.0,188.55999999999992
34,35,2.95,0.0,24.0,4.0,1.0,4.0,24.0,70.80000000000003
35,36,3.1335000000000006,3.1266465556903813,63.0,18.0,2.0,10.0,31.5,153.14499999999995
36,37,4.415555555555557,3.1285863864975467,94.0,9.0,1.0,9.0,94.0,301.24
37,38,2.9822641509433963,4.006767180230809,510.0,44.0,3.0,17.666666666666668,170.0,299.86000000000007
38,39,3.276250000000001,3.2379890167109,113.0,44.0,1.0,44.0,113.0,274.92999999999995
39,40,4.380370370370372,4.286003590832232,171.0,27.0,2.0,13.5,85.5,196.45
40,41,3.644047619047619,3.2784291743662326,578.0,33.0,2.0,21.0,289.0,634.065
41,42,1.62469387755102,1.7929337350415184,3582.0,79.0,2.0,73.5,1791.0,1893.5600000000006
42,43,5.063157894736842,2.8557856530045167,136.0,17.0,2.0,9.5,68.0,188.8
43,44,2.9876923076923068,1.9474691005086315,551.0,11.0,4.0,3.25,137.75,255.8625
44,45,3.008709677419356,2.275203642073216,146.0,31.0,1.0,31.0,146.0,255.0
45,46,8.350200892857142,79.81738603651823,10928.0,596.0,38.0,23.578947368421048,287.57894736842104,652.3889473684209
46,47,1.8249180327868848,0.7552849858404876,638.0,52.0,2.0,30.0,319.0,618.2449999999999
47,48,2.805573770491804,2.5066069526953263,192.0,51.0,3.0,19.666666666666668,64.0,112.65333333333332
48,49,3.0212771996215584,3.717536601858264,3100.0,467.0,31.0,33.74193548387097,100.0,222.37741935483865
49,50,1.8736842105263165,1.4993450811986613,419.0,18.0,2.0,9.0,209.5,345.365
50,51,2.1733971291866006,1.7854094661232445,2716.0,113.0,9.0,23.222222222222218,301.77777777777777,470.8055555555555
51,52,4.422148148148146,3.2821628710679036,863.0,106.0,14.0,9.642857142857142,61.64285714285714,164.29428571428568
52,53,2.6244444444444444,2.4829927059453434,165.0,9.0,1.0,9.0,165.0,172.54
53,54,1.25,0.0,264.0,7.0,3.0,5.0,88.0,110.0
54,55,3.0488235294117647,2.7691381053862805,431.0,34.0,2.0,17.0,215.5,294.125
55,56,3.336666666666668,2.5723641793619283,355.0,29.0,2.0,15.0,177.5,373.625
56,57,1.972,2.2343723951033767,139.0,5.0,2.0,2.5,69.5,80.485
