,Unnamed: 0,UnitPriceMean,UnitPriceStd,TotalQuantity,NoOfUniqueItems,NoOfInvoices,UniqueItemsPerInvoice,QuantityPerInvoice,SpendingPerInvoice
362,366,7.588888888888887,4.454931004674512,135.0,24.0,5.0,5.4,27.0,101.77
363,367,3.67,0.3622154055254968,224.0,2.0,2.0,2.0,112.0,426.68
364,368,3.157142857142857,1.114087283919207,116.0,7.0,1.0,7.0,116.0,376.30000000000007
365,369,2.273333333333333,1.1779016856055435,158.0,15.0,1.0,15.0,158.0,300.7
366,370,3.6062595419847323,4.417964957182097,1289.0,110.0,3.0,43.66666666666666,429.66666666666674,936.4733333333335
367,371,2.4001754385964906,2.246609740434359,971.0,44.0,4.0,14.25,242.75,309.61
368,372,3.3803333333333336,2.9052692715529624,365.0,30.0,1.0,30.0,365.0,566.9499999999998
369,373,2.7358565737051803,2.722121886203228,735.0,158.0,7.0,35.714285714285715,105.0,204.08
370,374,2.567096774193547,1.7814723944312392,173.0,59.0,5.0,12.2,34.6,83.08
371,375,2.1813333333333333,1.9451526548255056,331.0,30.0,1.0,30.0,331.0,478.88999999999993
372,376,2.625314685314683,2.0990151292813093,320.0,95.0,6.0,23.66666666666667,53.33333333333334,144.50000000000003
373,378,2.1451612903225805,1.6922831041839617,606.0,61.0,3.0,20.666666666666668,202.0,192.06333333333336
374,379,0.4975000000000001,0.2498499549729797,2700.0,3.0,2.0,2.0,1350.0,467.5
375,380,2.2173333333333334,1.7978338818329869,74.0,15.0,1.0,15.0,74.0,158.26000000000005
376,381,6.288888888888887,5.362589030599969,59.0,9.0,1.0,9.0,59.0,171.15
377,382,3.6326315789473687,3.4201340926853727,94.0,37.0,1.0,37.0,94.0,190.34
378,383,2.6575555555555566,2.7895064369196487,530.0,45.0,2.0,22.5,265.0,404.53
379,384,2.546985294117646,1.8058584989695767,2454.0,115.0,2.0,68.0,1227.0,2180.195
380,385,1.8009999999999995,0.8925674577681323,589.0,9.0,3.0,3.333333333333333,196.33333333333331,239.07666666666668
381,386,3.765844155844153,4.524402650495873,256.0,67.0,3.0,25.33333333333333,85.33333333333333,209.05666666666664
382,387,7.767575757575758,26.50059570074177,322.0,66.0,3.0,22.0,107.33333333333331,327.91
383,388,4.199999999999998,3.1481740739673207,47.0,6.0,1.0,6.0,47.0,120.65
384,389,2.059724770642201,2.1358216645606594,1407.0,86.0,4.0,27.25,351.75,440.40000000000015
385,390,2.2091176470588243,1.969914563867597,562.0,50.0,5.0,13.4,112.4,172.84799999999998
386,391,2.8408823529411773,2.8960614505106217,682.0,33.0,3.0,11.333333333333336,227.33333333333331,432.23333333333335
387,392,4.710000000000002,1.9984994370777287,75.0,15.0,1.0,15.0,75.0,307.25000000000006
388,393,4.594166666666666,3.375159653055811,420.0,54.0,4.0,15.0,105.0,284.95
389,394,2.840625,2.2169211946601384,172.0,16.0,1.0,16.0,172.0,365.80000000000007
390,395,5.471875,3.6198051858260736,69.0,16.0,1.0,16.0,69.0,258.75
391,396,2.2605263157894737,1.7139605650986982,218.0,16.0,2.0,9.5,109.0,182.15
392,397,3.6090476190476184,2.66214557220657,1280.0,11.0,4.0,5.25,320.0,777.96
393,398,2.1874429223744283,2.3442715345476737,2818.0,183.0,8.0,27.375,352.25,432.11250000000007
394,399,3.3543888888888884,2.3887918369123984,1606.0,96.0,10.0,18.0,160.6,379.49199999999996
395,400,3.450476190476188,4.788944322323848,1425.0,71.0,5.0,16.8,285.0,445.35400000000004
396,401,3.3460674157303374,4.238201703225279,1971.0,69.0,5.0,17.8,394.2,775.778
397,402,4.257916666666668,3.8483231573229917,342.0,20.0,4.0,6.0,85.5,391.485
398,403,2.60962962962963,3.7193536606306874,2142.0,101.0,6.0,22.5,357.0,567.2166666666667
399,404,4.703090909090907,3.516364322299105,1024.0,24.0,11.0,5.0,93.0909090909091,329.6618181818182
400,405,3.3828333333333305,2.543505879069821,330.0,80.0,5.0,24.0,66.0,218.688
401,406,4.5625,5.425885205490244,128.0,18.0,3.0,6.666666666666668,42.66666666666666,104.18333333333334
402,407,1.6857142857142855,1.2493980968432776,4438.0,10.0,5.0,2.8,887.6,1532.0079999999998
403,408,4.6485,4.519652146605509,454.0,20.0,1.0,20.0,454.0,1281.5000000000002
404,409,2.55,0.0,64.0,2.0,1.0,2.0,64.0,163.2
405,410,5.73,3.4359375236850083,140.0,9.0,3.0,3.333333333333333,46.66666666666666,290.93333333333334
406,411,3.6570967741935485,2.4712563519370563,341.0,25.0,2.0,15.5,170.5,592.855
407,412,3.567045454545455,3.124208982339001,205.0,42.0,2.0,22.0,102.5,221.205
408,413,2.68,2.06082507748717,60.0,5.0,1.0,5.0,60.0,112.6
409,414,2.2406504065040624,2.026056793597105,2990.0,76.0,6.0,20.5,498.33333333333326,943.6666666666665
410,415,2.430064516129031,2.2697483975142347,2041.0,84.0,12.0,12.916666666666664,170.08333333333334,261.0366666666667
411,416,3.5225,5.047809248092503,164.0,40.0,2.0,20.0,82.0,182.425
412,417,2.4094230769230776,1.64130915401848,512.0,39.0,2.0,25.0,256.0,451.9
413,418,2.7824561403508774,2.159788581503287,437.0,55.0,2.0,28.5,218.5,576.2000000000003
414,419,6.119999999999999,4.74784161488144,24.0,5.0,1.0,5.0,24.0,103.7
415,420,1.069090909090909,0.655552508125086,22.0,11.0,2.0,5.5,11.0,10.654999999999998
416,421,3.4000909090909075,3.605008110656376,643.0,69.0,4.0,27.5,160.75,265.4175
417,422,3.1194117647058834,1.5478875548155755,190.0,17.0,1.0,17.0,190.0,394.1800000000002
418,423,3.75,0.0,16.0,4.0,1.0,4.0,16.0,60.0
419,424,3.0755555555555536,4.085300864578014,115.0,60.0,2.0,31.5,57.5,143.82000000000005
420,425,3.2900000000000005,3.23657667473344,196.0,15.0,1.0,15.0,196.0,315.0
421,427,2.311282051282052,1.9034652326842711,186.0,36.0,2.0,19.5,93.0,131.58500000000004
422,428,1.5514285714285718,1.07516859143113,613.0,45.0,3.0,16.333333333333332,204.33333333333331,232.36666666666665
423,429,4.145714285714285,2.93735708872222,309.0,45.0,3.0,16.333333333333332,103.0,299.11000000000007
424,430,3.1340425531914904,2.1942639248875477,572.0,38.0,4.0,11.75,143.0,355.48750000000007
425,431,2.735797101449275,2.491119761093216,659.0,58.0,4.0,17.25,164.75,270.21500000000003
426,432,5.164782608695653,3.9800443916725086,117.0,23.0,1.0,23.0,117.0,383.07000000000016
427,433,3.961525423728813,2.8758397955231976,450.0,44.0,3.0,19.666666666666668,150.0,360.16666666666674
428,434,3.734354838709676,2.76264284310925,133.0,51.0,2.0,31.0,66.5,204.875
429,435,2.7715094339622635,2.857916921200052,579.0,90.0,7.0,15.0,82.71428571428571,131.20142857142858
430,436,2.463252032520323,2.0892611824321943,525.0,68.0,5.0,24.4,105.0,181.92200000000003
431,437,4.622807017543857,4.152513581202861,383.0,75.0,6.0,19.0,63.83333333333334,197.61666666666665
432,438,2.4679914529914506,2.4528023353022097,499.0,171.0,6.0,37.333333333333336,83.16666666666667,163.89166666666668
433,439,2.500277777777776,1.8947005205566951,414.0,66.0,3.0,24.0,138.0,269.46
434,440,2.3958518518518503,3.2846093807115766,394.0,121.0,2.0,67.0,197.0,322.6649999999998
435,441,2.3255319148936184,1.6172115138351677,574.0,45.0,2.0,23.5,287.0,462.28000000000014
436,442,3.8219375000000007,4.333253675640603,2713.0,77.0,11.0,14.545454545454545,246.63636363636363,680.0654545454545
437,443,2.217391304347826,2.090063542729795,389.0,22.0,3.0,7.666666666666668,129.66666666666666,164.61333333333337
438,444,4.8571428571428585,4.344663266709965,112.0,11.0,2.0,7.0,56.0,167.1
439,445,2.7513513513513495,2.643526393590916,741.0,109.0,3.0,37.0,247.0,423.65333333333336
440,446,3.7282142857142846,5.092378176581118,1319.0,114.0,5.0,28.0,263.8,575.028
441,447,3.0776666666666674,2.652227019114227,307.0,29.0,2.0,15.0,153.5,229.265
